UMLClass,UMLEntity,UMLDescription,ConceptName,ConceptPreferredName,Classification,ConceptCode,ConceptDefinition,ConceptDefinitionSource,ModifiedDate,HumanVerified
AbstractCancerModel,AbstractCancerModel,Abstract base class for cancer models.,Cancer Model,Cancer Model,ObjectClass,C19691,Any model that can be used to study issues important in cancer such as cancer development or prediction.,NCI,,1
AbstractCancerModel,abstractCancerModelId,,Identifier,Identifier,Property,C25364,"One or more characters used to identify, name, or characterize the nature, properties, or contents of a thing.",NCI,,1
AbstractCancerModel,experimentDesign,Experimental design describes the complete experiment including how the model was generated and which treatments/exposures the model received to trigger cancer development.,Cancer Model,Cancer Model,Property,C19691,Any model that can be used to study issues important in cancer such as cancer development or prediction.,NCI,,1
AbstractCancerModel,experimentDesign,Experimental design describes the complete experiment including how the model was generated and which treatments/exposures the model received to trigger cancer development.,Generation,Generation,PropertyQualifier1,C48151,The act of bringing into being.,NCI,,1
AbstractCancerModel,modelDescriptor,"Commonly used name of the model, does not necessarily follow the rules of the official nomenclature.",Name,Name,Property,C42614,The words or language units by which a thing is known.,NCI,,1
AbstractCancerModel,state,The status in the approval process.,Status,Status,Property,C25688,A condition or state at a particular time.,NCI,,1
AbstractCancerModel,state,The status in the approval process.,Approval,Approval,PropertyQualifier1,C42782,Acceptance as satisfactory.,NCI,,1
Agent,Agent,"A therapeutic agent (drug, intervention therapy) used in a clinical trial protocol.",Pharmacologic_Substance,Pharmacologic Substance,ObjectClass,C1909,"A natural, synthetic or semi-synthetic substance including endogenous body substance used to diagnose, prevent, maintain, treat or analyze abnormal and normal biological functions in vivo or in vitro.",NCI,,1
Agent,agentId,,Identifier,Identifier,Property,C25364,"One or more characters used to identify, name, or characterize the nature, properties, or contents of a thing.",NCI,,1
Agent,comment,,Comment,Comment,Property,C25393,A written explanation or criticism or illustration that is added to a book or other textual material.,NCI,,1
Agent,EVSId,,NCI Concept Code,NCI Concept Code,Property,C43516,A concept unique identifier within the NCI Enterprise Vocabulary Service's NCI Thesaurus.,NCI,,1
Agent,isCMAPAgent,,Flag,Flag,Property,C43578,"An indicator that can be set or unset in order to signal whether a particular condition is true. The indicator usually takes the form of a single binary digit, or bit (either 0 or 1). (from Dictionary of Computers)",NCI,,1
