artifact_id,summary,open_date,status_name,priority,assigned_to_name,submitter_name,last_modified_date,"Server_found_on","Testing_State","Found_in_Version","Assigned_Release","Disposition","Reproduced","Resolution","Hardware","Product","Component","Severity","Application_Part","Detail_Page","Type_of_Error","Other_Hardware_Software","Date","Time","Tag_fixed_on","Tag_found_on","URL","Steps_to_Reproduce"
4771,"Move the e-mail code to its own utility - Consolidate","2005-12-26 23:00","Closed",1,"Nobody","Ulli Wagner","2008-08-25 13:26","None","None","None","None","None","None","None","None","None","None","None","None","None","None","","","","","","",""
4787,"Adv search for carcinogens does not include data from Jackson Lab","2006-12-10 23:00","Closed",4,"Nobody","Ulli Wagner","2007-12-14 09:55","None","None","None","2.3","None","None","None","None","None","None","None","None","None","None","","","","","","",""
4802,"Help not available","2005-11-02 23:00","Closed",2,"Nobody","Ulli Wagner","2007-03-27 16:47","None","None","2.0","2.0","Open - Not Reviewed","Always","Code Change","","caMOD","HTTP interface","Workaround","General Issues","Other","Feature Request","","None","None","None","None","","1. Click Submit models
2. click HELP in  If you are unfamiliar with the submission process please refer to HELP.
3. you get error report as attached"
4803,"Two Searches should be separated","2005-11-02 23:00","Closed",3,"Nobody","Ulli Wagner","2007-03-27 16:47","None","None","2.0","2.0","Open - Not Reviewed","Always","Code Change","","caMOD","HTTP interface","Workaround","Search","Other","Incorrect Functionality","","None","None","None","None","","See above"
4804,"Link in Genetic Description cannot be opened","2005-11-02 23:00","Closed",3,"Nobody","Ulli Wagner","2007-03-27 16:47","None","None","2.0","2.0","Open - Not Reviewed","Always","Code Change","","caMOD","HTTP interface","No Workaround","Search","Gen Des - Eng Transgene","Feature Request","","None","None","None","None","","see above"
4805,"Link does not work in  Histopathology","2005-11-02 23:00","Closed",3,"Nobody","Ulli Wagner","2007-03-27 16:47","None","None","2.0","2.0","Open - Not Reviewed","Always","Code Change","","caMOD","HTTP interface","No Workaround","Search","Histopathology","Incorrect Functionality","","None","None","None","None","","see above"
4806,"Error Report: The requested resource (/zoomifyImage.jsp) is not available.","2005-11-02 23:00","Closed",4,"Nobody","Ulli Wagner","2007-03-27 16:47","None","None","2.0","2.0","Open - Not Reviewed","Always","Code Change","","caMOD","HTTP interface","No Workaround","Search","Images","Incorrect Functionality","","None","None","None","None","","Go to:

http://cbiodev104.nci.nih.gov:49180/camod/ViewModelAction.do&#063;unprotected_method=populateImages&aModelID=199

Click on: Click on the image to open in a new Browser window.
You get:

type Status report

message /zoomifyImage.jsp

description The requested resource (/zoomifyImage.jsp) is not available."
4807,"Test bug","2005-11-08 23:00","Closed",5,"Nobody","Ulli Wagner","2007-03-27 16:47","None","None","2.0","2.0","Open - Not Reviewed","Always","Not a Bug","","caMOD","Database","Cosmetic","Search","Histopathology","Data Corruption","test","None","None","None","None","","test"
4808,"all links to experimental design don't work in yeast tables","2005-11-08 23:00","Closed",3,"Nobody","Ulli Wagner","2007-03-27 16:47","None","None","2.0","2.0","Open - Not Reviewed","","Code Change","","caMOD","HTTP interface","No Workaround","Search","Search - Drug Screen","Incorrect Functionality","IE, PC","None","None","None","None","","drug screening
search for NSC 632"
4809,"all links to Yeast strains don't work in yeast tables","2005-11-08 23:00","Closed",3,"Nobody","Ulli Wagner","2007-03-27 16:47","None","None","2.0","","Open - Not Reviewed","","Code Change","","caMOD","HTTP interface","No Workaround","Search","Search - Drug Screen","Incorrect Functionality","IE, PC","None","None","None","None","","drug screening
search for NSC 632"
4810,"yeast search results table - Stage 0 - link to experimental design is labeled "Stage 1"","2005-11-08 23:00","Closed",1,"Nobody","Ulli Wagner","2007-03-27 16:47","None","None","2.0","","Open - Not Reviewed","","Code Change","","caMOD","HTTP interface","Cosmetic","Search","Search - Drug Screen","Cosmetic","PC, IE","None","None","None","None","","drug screen search
search for yeast data for NSC 632
look at the tables with the data that are returned"
4811,"yeast search results table - Stage 1 - link to experimental design is labeled "Stage 2"","2005-11-08 23:00","Closed",1,"Nobody","Ulli Wagner","2007-03-27 16:47","None","None","2.0","","Open - Not Reviewed","","Code Change","","caMOD","HTTP interface","Cosmetic","Search","Search - Drug Screen","Cosmetic","PC, IE","None","None","None","None","","drug screen search
search for yeast data for NSC 632
look at the tables with the data that are returned"
4812,"yeast search results table - Stage 2 - link to experimental design is labeled "Stage 3"","2005-11-08 23:00","Closed",1,"Nobody","Ulli Wagner","2007-03-27 16:47","None","None","2.0","","Open - Not Reviewed","","Code Change","","caMOD","HTTP interface","Cosmetic","Search","Search - Drug Screen","Cosmetic","PC, IE","None","None","None","None","","drug screen search
search for yeast data for NSC 632
look at the tables with the data that are returned"
4813,"in vivo search results table - list administrative site with the model name","2005-11-08 23:00","Closed",1,"Nobody","Ulli Wagner","2007-03-27 16:48","None","None","2.0","","Open - Not Reviewed","","Code Change","","caMOD","HTTP interface","Cosmetic","Search","Search - Drug Screen","Incorrect Functionality","PC, IE","None","None","None","None","","drug screen search
search for in-vivo data for NSC 24820
look at the list of models that is returned"
4814,"yeast search results table - stage 0 - blue table header, change text","2005-11-08 23:00","Closed",1,"Nobody","Ulli Wagner","2007-03-27 16:48","None","None","2.0","","Open - Not Reviewed","","Code Change","","caMOD","HTTP interface","Cosmetic","Search","Search - Drug Screen","Cosmetic","PC, IE","None","None","None","None","","drug screen search
search for yeast data for NSC 632
look at the tables with the data that are returned"
4815,"yeast search results table - stage 1 - blue table header, change text","2005-11-08 23:00","Closed",1,"Nobody","Ulli Wagner","2007-03-27 16:48","None","None","2.0","","Open - Not Reviewed","","Code Change","","caMOD","HTTP interface","Cosmetic","Search","Search - Drug Screen","Cosmetic","PC, IE","None","None","None","None","","drug screen search
search for yeast data for NSC 632
look at the tables with the data that are returned"
4816,"yeast search results table - typo in table header","2005-11-08 23:00","Closed",1,"Nobody","Ulli Wagner","2007-03-27 16:48","None","None","2.0","","Open - Not Reviewed","","Code Change","","caMOD","HTTP interface","Cosmetic","Search","Search - Drug Screen","Cosmetic","PC, IE","None","None","None","None","","drug screen search
search for yeast data for NSC 632
look at the tables with the data that are returned"
4817,"yeast search results table - remove chemical class, biological process and target when user wants to see only yeast data","2005-11-08 23:00","Closed",1,"Nobody","Ulli Wagner","2007-03-27 16:48","None","None","2.0","","Open - Not Reviewed","","Code Change","","caMOD","HTTP interface","Cosmetic","Search","Search - Drug Screen","Cosmetic","PC, IE","None","None","None","None","","drug screen search
search for yeast data for NSC 632
look at the tables with the data that are returned"
4818,"drug screening search results table - link to chemical structure next to NSC number is not working","2005-11-08 23:00","Closed",3,"Nobody","Ulli Wagner","2007-03-27 16:48","None","None","2.0","","Open - Not Reviewed","","Code Change","","caMOD","HTTP interface","No Workaround","Search","Search - Drug Screen","Incorrect Functionality","PC, IE","None","None","None","None","","drug screen search
search for yeast data for NSC 632
look at the tables with the data that are returned"
4819,"yeast search results table - stage 2 - table is not sorted by amount","2005-11-08 23:00","Closed",1,"Nobody","Ulli Wagner","2007-03-27 16:48","None","None","2.0","","Open - Not Reviewed","","Code Change","","caMOD","HTTP interface","Cosmetic","Search","Search - Drug Screen","Cosmetic","PC, IE","None","None","None","None","","drug screen search
search for yeast data for NSC 632
look at the tables with the data that are returned"
4820,"drug screening search results table - page returns name of animal model","2005-11-08 23:00","Closed",1,"Nobody","Ulli Wagner","2007-03-27 16:48","None","None","2.0","","Open - Not Reviewed","","Code Change","","caMOD","HTTP interface","No Workaround","Search","Search - Drug Screen","Incorrect Functionality","PC, IE","None","None","None","None","","drug screen search
search for yeast data for NSC 632
look at the tables with the data that are returned"
4821,"drug screen search page - validation of entry","2005-11-08 23:00","Closed",1,"Nobody","Ulli Wagner","2007-03-27 16:48","None","None","2.0","","Open - Not Reviewed","","Code Change","","caMOD","HTTP interface","Cosmetic","Search","Search - Drug Screen","Cosmetic","PC, IE","None","None","None","None","","drug screen search
search for yeast data for NSC 632
look at the tables with the data that are returned"
4822,"drug screening search results table - page returns duplicated results","2005-11-08 23:00","Closed",1,"Nobody","Ulli Wagner","2007-03-27 16:48","None","None","2.0","","Open - Not Reviewed","","Code Change","","caMOD","Supporting software","No Workaround","Search","Search - Drug Screen","Incorrect Functionality","PC, IE","None","None","None","None","","drug screen search
search for yeast data for NSC 632
look at the tables with the data that are returned"
4823,"in-vivo drug screening search results table - link to detail page broken","2005-11-08 23:00","Closed",1,"Nobody","Ulli Wagner","2007-03-27 16:48","None","None","2.0","","Open - Not Reviewed","","Code Change","","caMOD","Supporting software","No Workaround","Search","Search - Drug Screen","Incorrect Functionality","PC, IE","None","None","None","None","","drug screen search
search for in -vivo data for NSC 24820
click on any of the hyperlinked numbers next to the model names"
